Standardlastprofil;A;B;C;D;mH;bH;mW;bW;2;3;4;5;6;7;1
HEF03;3.046970;-37.183314;5.672785;0.096193;0.000000;0.000000;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
HEF04;3.185019;-37.412416;6.172318;0.076110;0.000000;0.000000;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
HEF05;3.345667;-37.526832;6.432894;0.056257;0.000000;0.000000;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
HMF03;2.387762;-34.721361;5.816430;0.120819;0.000000;0.000000;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
HMF04;2.518778;-35.033375;6.224063;0.101078;0.000000;0.000000;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
HMF05;2.656441;-35.251693;6.518266;0.081206;0.000000;0.000000;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
GKO01;1.415957;-30.842519;6.346756;0.321179;0.000000;0.000000;0.000000;0.000000;1.035400;1.052300;1.044900;1.049400;0.988500;0.886000;0.943500
GKO02;2.066050;-33.601652;6.675361;0.230913;0.000000;0.000000;0.000000;0.000000;1.035400;1.052300;1.044900;1.049400;0.988500;0.886000;0.943500
GKO03;2.717229;-35.141256;7.130340;0.141847;0.000000;0.000000;0.000000;0.000000;1.035400;1.052300;1.044900;1.049400;0.988500;0.886000;0.943500
GKO04;3.442894;-36.659050;7.608323;0.074685;0.000000;0.000000;0.000000;0.000000;1.035400;1.052300;1.044900;1.049400;0.988500;0.886000;0.943500
GKO05;4.362483;-38.663402;7.597464;0.008326;0.000000;0.000000;0.000000;0.000000;1.035400;1.052300;1.044900;1.049400;0.988500;0.886000;0.943500
GHA01;2.374283;-34.759550;5.998704;0.149441;0.000000;0.000000;0.000000;0.000000;1.035800;1.023200;1.025200;1.029500;1.025300;0.967500;0.893500
GHA02;2.854475;-35.629423;7.005826;0.116477;0.000000;0.000000;0.000000;0.000000;1.035800;1.023200;1.025200;1.029500;1.025300;0.967500;0.893500
GHA03;3.581121;-36.965007;7.225695;0.044842;0.000000;0.000000;0.000000;0.000000;1.035800;1.023200;1.025200;1.029500;1.025300;0.967500;0.893500
GHA04;4.019690;-37.828204;8.159337;0.047285;0.000000;0.000000;0.000000;0.000000;1.035800;1.023200;1.025200;1.029500;1.025300;0.967500;0.893500
GHA05;4.825238;39.280256;8.624022;0.009995;0.000000;0.000000;0.000000;0.000000;1.035800;1.023200;1.025200;1.029500;1.025300;0.967500;0.893500
GMK01;1.864453;-30.707163;6.462694;0.104834;0.000000;0.000000;0.000000;0.000000;1.069900;1.036500;0.993300;0.994800;1.065900;0.936200;0.903400
GMK02;2.290818;-33.147687;6.371477;0.081002;0.000000;0.000000;0.000000;0.000000;1.069900;1.036500;0.993300;0.994800;1.065900;0.936200;0.903400
GMK03;2.788242;-34.880613;6.595190;0.054033;0.000000;0.000000;0.000000;0.000000;1.069900;1.036500;0.993300;0.994800;1.065900;0.936200;0.903400
GMK04;3.117725;-35.871506;7.518683;0.034330;0.000000;0.000000;0.000000;0.000000;1.069900;1.036500;0.993300;0.994800;1.065900;0.936200;0.903400
GMK05;3.586236;-37.080299;8.242057;0.014601;0.000000;0.000000;0.000000;0.000000;1.069900;1.036500;0.993300;0.994800;1.065900;0.936200;0.903400
GBD01;1.290351;-35.234987;2.106425;0.455725;0.000000;0.000000;0.000000;0.000000;1.105200;1.085700;1.037800;1.062200;1.026600;0.762900;0.919600
GBD02;2.109588;-35.844451;5.215467;0.285458;0.000000;0.000000;0.000000;0.000000;1.105200;1.085700;1.037800;1.062200;1.026600;0.762900;0.919600
GBD03;2.917703;-36.179412;5.926516;0.115191;0.000000;0.000000;0.000000;0.000000;1.105200;1.085700;1.037800;1.062200;1.026600;0.762900;0.919600
GBD04;3.750000;-37.500000;6.800000;0.060911;0.000000;0.000000;0.000000;0.000000;1.105200;1.085700;1.037800;1.062200;1.026600;0.762900;0.919600
GBD05;4.569951;-38,5353392 7;7.597699;0.006631;0.000000;0.000000;0.000000;0.000000;1.105200;1.085700;1.037800;1.062200;1.026600;0.762900;0.919600
GBH01;1.477179;-35.083445;5.412343;0.474426;0.000000;0.000000;0.000000;0.000000;0.976700;1.038900;1.002800;1.016200;1.002400;1.004300;0.958700
GBH02;1.700528;-35.150000;6.163274;0.429826;0.000000;0.000000;0.000000;0.000000;0.976700;1.038900;1.002800;1.016200;1.002400;1.004300;0.958700
GBH03;2.010247;-35.253212;6.154441;0.329474;0.000000;0.000000;0.000000;0.000000;0.976700;1.038900;1.002800;1.016200;1.002400;1.004300;0.958700
GBH04;2.459518;-35.253212;6.058700;0.164737;0.000000;0.000000;0.000000;0.000000;0.976700;1.038900;1.002800;1.016200;1.002400;1.004300;0.958700
GBH05;2.980000;-35.800000;5.634058;0.000000;0.000000;0.000000;0.000000;0.000000;0.976700;1.038900;1.002800;1.016200;1.002400;1.004300;0.958700
GWA01;0.400000;-40.514948;2.874796;0.935108;0.000000;0.000000;0.000000;0.000000;1.245700;1.261500;1.270700;1.243000;1.127600;0.387700;0.463800
GWA02;0.616623;-38.400000;3.870535;0.870025;0.000000;0.000000;0.000000;0.000000;1.245700;1.261500;1.270700;1.243000;1.127600;0.387700;0.463800
GWA03;0.765729;-36.023791;4.866275;0.804943;0.000000;0.000000;0.000000;0.000000;1.245700;1.261500;1.270700;1.243000;1.127600;0.387700;0.463800
GWA04;1.053588;-35.300000;4.866275;0.681104;0.000000;0.000000;0.000000;0.000000;1.245700;1.261500;1.270700;1.243000;1.127600;0.387700;0.463800
GWA05;1.276885;-34.342437;5.451882;0.557266;0.000000;0.000000;0.000000;0.000000;1.245700;1.261500;1.270700;1.243000;1.127600;0.387700;0.463800
GGA01;1.177035;-39.159991;4.207611;0.660474;0.000000;0.000000;0.000000;0.000000;1.084800;1.121100;1.076900;1.135300;1.140200;0.485200;0.956500
GGA02;1.648762;-36.399274;6.214917;0.487764;0.000000;0.000000;0.000000;0.000000;1.084800;1.121100;1.076900;1.135300;1.140200;0.485200;0.956500
GGA03;2.285017;-36.287858;6.588513;0.315054;0.000000;0.000000;0.000000;0.000000;1.084800;1.121100;1.076900;1.135300;1.140200;0.485200;0.956500
GGA04;2.819566;-36.000000;7.736852;0.157281;0.000000;0.000000;0.000000;0.000000;1.084800;1.121100;1.076900;1.135300;1.140200;0.485200;0.956500
GGA05;3.329558;-36.014621;8.776747;0.000000;0.000000;0.000000;0.000000;0.000000;1.084800;1.121100;1.076900;1.135300;1.140200;0.485200;0.956500
GBA01;0.150000;-36.000000;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.932200;0.989400;1.003300;1.010900;1.018000;1.035600;1.010600
GBA02;0.387919;-35.500000;4.000000;0.905482;0.000000;0.000000;0.000000;0.000000;0.932200;0.989400;1.003300;1.010900;1.018000;1.035600;1.010600
GBA03;0.626196;-33.000000;5.721230;0.785566;0.000000;0.000000;0.000000;0.000000;0.932200;0.989400;1.003300;1.010900;1.018000;1.035600;1.010600
GBA04;0.931589;-33.350000;5.721230;0.665649;0.000000;0.000000;0.000000;0.000000;0.932200;0.989400;1.003300;1.010900;1.018000;1.035600;1.010600
GBA05;1.277957;-34.517392;5.721230;0.545733;0.000000;0.000000;0.000000;0.000000;0.932200;0.989400;1.003300;1.010900;1.018000;1.035600;1.010600
GGB01;3.176195;-40.836661;3.678589;0.150216;0.000000;0.000000;0.000000;0.000000;0.989700;0.962700;1.050700;1.055200;1.029700;0.976700;0.935300
GGB02;3.390465;-39.287522;4.490574;0.083478;0.000000;0.000000;0.000000;0.000000;0.989700;0.962700;1.050700;1.055200;1.029700;0.976700;0.935300
GGB03;3.257274;-37.500000;6.346215;0.086623;0.000000;0.000000;0.000000;0.000000;0.989700;0.962700;1.050700;1.055200;1.029700;0.976700;0.935300
GGB04;3.601774;-37.882537;6.983607;0.054826;0.000000;0.000000;0.000000;0.000000;0.989700;0.962700;1.050700;1.055200;1.029700;0.976700;0.935300
GGB05;3.932053;-38.143325;7.618587;0.023030;0.000000;0.000000;0.000000;0.000000;0.989700;0.962700;1.050700;1.055200;1.029700;0.976700;0.935300
GPD01;1.489402;-32.425268;8.173261;0.390599;0.000000;0.000000;0.000000;0.000000;1.021400;1.086600;1.072000;1.055700;1.011700;0.900100;0.852500
GPD02;2.578417;-34.732126;6.480504;0.140773;0.000000;0.000000;0.000000;0.000000;1.021400;1.086600;1.072000;1.055700;1.011700;0.900100;0.852500
GPD03;3.200000;-35.800000;8.400000;0.093849;0.000000;0.000000;0.000000;0.000000;1.021400;1.086600;1.072000;1.055700;1.011700;0.900100;0.852500
GPD04;3.850000;-37.000000;10.240502;0.046924;0.000000;0.000000;0.000000;0.000000;1.021400;1.086600;1.072000;1.055700;1.011700;0.900100;0.852500
GPD05;4.746281;-38.750429;10.275333;0.000000;0.000000;0.000000;0.000000;0.000000;1.021400;1.086600;1.072000;1.055700;1.011700;0.900100;0.852500
GMF01;2.116353;-34.262862;5.176387;0.160695;0.000000;0.000000;0.000000;0.000000;1.035400;1.052300;1.044900;1.049400;0.988500;0.886000;0.943500
GMF02;2.248633;-34.542843;5.554525;0.140822;0.000000;0.000000;0.000000;0.000000;1.035400;1.052300;1.044900;1.049400;0.988500;0.886000;0.943500
GMF03;2.387762;-34.721361;5.816430;0.120819;0.000000;0.000000;0.000000;0.000000;1.035400;1.052300;1.044900;1.049400;0.988500;0.886000;0.943500
GMF04;2.518778;-35.033375;6.224063;0.101078;0.000000;0.000000;0.000000;0.000000;1.035400;1.052300;1.044900;1.049400;0.988500;0.886000;0.943500
GMF05;2.656441;-35.251693;6.518266;0.081206;0.000000;0.000000;0.000000;0.000000;1.035400;1.052300;1.044900;1.049400;0.988500;0.886000;0.943500
GHD03;2.579251;-35.681614;6.685798;0.199554;0.000000;0.000000;0.000000;0.000000;1.030000;1.030000;1.020000;1.030000;1.010000;0.930000;0.950000
GHD04;3.008435;-36.607845;7.321187;0.154966;0.000000;0.000000;0.000000;0.000000;1.030000;1.030000;1.020000;1.030000;1.010000;0.930000;0.950000
HEF33;1.620954;-37.183314;5.672785;0.071643;-0.049570;0.840102;-0.002209;0.107447;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
HEF34;1.381966;-37.412416;6.172318;0.039628;-0.067216;1.116714;-0.001998;0.135507;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
HMF33;1.232866;-34.721361;5.816430;0.087335;-0.040928;0.767292;-0.002232;0.119921;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
HMF34;1.044354;-35.033375;6.224063;0.050292;-0.053583;0.999590;-0.002176;0.163330;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
GKO33;1.355452;-35.141256;7.130340;0.099062;-0.052649;0.862609;-0.000881;0.096401;1.035400;1.052300;1.044900;1.049400;0.988500;0.886000;0.943500
GKO34;1.425668;-36.659050;7.608323;0.037112;-0.080936;1.236453;-0.000763;0.100298;1.035400;1.052300;1.044900;1.049400;0.988500;0.886000;0.943500
GHA33;1.972478;-36.965007;7.225695;0.034578;-0.074217;1.044887;-0.000830;0.046180;1.035800;1.023200;1.025200;1.029500;1.025300;0.967500;0.893500
GHA34;1.839846;-37.828204;8.159337;0.025971;-0.106926;1.455224;-0.000492;0.069185;1.035800;1.023200;1.025200;1.029500;1.025300;0.967500;0.893500
GMK33;1.420242;-34.880613;6.595190;0.038532;-0.052108;0.864792;-0.001437;0.063760;1.069900;1.036500;0.993300;0.994800;1.065900;0.936200;0.903400
GMK34;1.328491;-35.871506;7.518683;0.017554;-0.075898;1.194256;-0.000898;0.060334;1.069900;1.036500;0.993300;0.994800;1.065900;0.936200;0.903400
GBD33;1.463368;-36.179412;5.926516;0.080884;-0.047580;0.823075;-0.001927;0.107705;1.105200;1.085700;1.037800;1.062200;1.026600;0.762900;0.919600
GBD34;1.517579;-37.500000;6.800000;0.029580;-0.078856;1.216125;-0.001313;0.096872;1.105200;1.085700;1.037800;1.062200;1.026600;0.762900;0.919600
GBH33;0.987428;-35.253212;6.154441;0.226572;-0.033902;0.693823;-0.001285;0.202973;0.976700;1.038900;1.002800;1.016200;1.002400;1.004300;0.958700
GBH34;0.987259;-35.253212;6.058700;0.079351;-0.049501;0.963800;-0.002230;0.228840;0.976700;1.038900;1.002800;1.016200;1.002400;1.004300;0.958700
GWA33;0.333784;-36.023791;4.866275;0.491228;-0.009226;0.459576;-0.000968;0.396429;1.245700;1.261500;1.270700;1.243000;1.127600;0.387700;0.463800
GWA34;0.392534;-35.300000;4.866275;0.304510;-0.016799;0.671089;-0.002030;0.561462;1.245700;1.261500;1.270700;1.243000;1.127600;0.387700;0.463800
GGA33;1.158208;-36.287858;6.588513;0.223568;-0.041034;0.752645;-0.000909;0.191664;1.084800;1.121100;1.076900;1.135300;1.140200;0.485200;0.956500
GGA34;1.184832;-36.000000;7.736852;0.079311;-0.068738;1.130857;-0.000659;0.191030;1.084800;1.121100;1.076900;1.135300;1.140200;0.485200;0.956500
GBA33;0.277009;-33.000000;5.721230;0.486512;-0.009485;0.463024;-0.000713;0.386745;0.932200;0.989400;1.003300;1.010900;1.018000;1.035600;1.010600
GBA34;0.353764;-33.350000;5.721230;0.303331;-0.017746;0.682570;-0.001391;0.543462;0.932200;0.989400;1.003300;1.010900;1.018000;1.035600;1.010600
GGB33;1.821378;-37.500000;6.346215;0.067812;-0.060767;0.930816;-0.001397;0.085040;0.989700;0.962700;1.050700;1.055200;1.029700;0.976700;0.935300
GGB34;1.626681;-37.882537;6.983607;0.029714;-0.085433;1.270963;-0.001132;0.092812;0.989700;0.962700;1.050700;1.055200;1.029700;0.976700;0.935300
GPD33;1.711074;-35.800000;8.400000;0.070255;-0.074538;1.046301;-0.000367;0.062188;1.021400;1.086600;1.072000;1.055700;1.011700;0.900100;0.852500
GPD34;1.883461;-37.000000;10.240502;0.027547;-0.125310;1.627600;-0.000111;0.063512;1.021400;1.086600;1.072000;1.055700;1.011700;0.900100;0.852500
GMF33;1.232866;-34.721361;5.816430;0.087335;-0.040928;0.767292;-0.002232;0.119921;1.035400;1.052300;1.044900;1.049400;0.988500;0.886000;0.943500
GMF34;1.044354;-35.033375;6.224063;0.050292;-0.053583;0.999590;-0.002176;0.163330;1.035400;1.052300;1.044900;1.049400;0.988500;0.886000;0.943500
GHD33;1.301062;-35.681614;6.685798;0.140927;-0.047343;0.814169;-0.001060;0.132509;1.030000;1.030000;1.020000;1.030000;1.010000;0.930000;0.950000
GHD34;1.256960;-36.607845;7.321187;0.077696;-0.069683;1.137970;-0.000852;0.192107;1.030000;1.030000;1.020000;1.030000;1.010000;0.930000;0.950000
